"Table E-1--U.S. per capita use of melons, 1970 to date",,,,,,
         Crop,,  Watermelon,  Cantaloupe,  Honeydew,  Others,Total melons 
,,,,,,
,,"---------- Pounds, farm weight ----------",,,,
,,,,,,
1970,,13.50        ,7.20        ,0.90        ,0.00        ,21.60        
1971,,13.04        ,6.64        ,0.93        ,0.00        ,20.61        
1972,,12.31        ,6.77        ,1.04        ,0.00        ,20.12        
1973,,12.74        ,5.88        ,1.11        ,0.00        ,19.73        
1974,,11.32        ,5.14        ,1.01        ,0.00        ,17.47        
1975,,11.44        ,5.05        ,1.06        ,0.00        ,17.55        
1976,,12.63        ,5.05        ,1.02        ,0.07        ,18.77        
1977,,12.62        ,5.52        ,1.13        ,0.08        ,19.35        
1978,,11.89        ,6.58        ,1.60        ,0.11        ,20.18        
1979,,11.40        ,6.12        ,1.59        ,0.13        ,19.24        
1980,,10.65        ,5.85        ,1.40        ,0.08        ,17.98        
1981,,11.65        ,6.12        ,1.50        ,0.10        ,19.37        
1982,,12.48        ,7.67        ,1.80        ,0.30        ,22.25        
1983,,11.31        ,6.54        ,1.80        ,0.21        ,19.86        
1984,,14.42        ,7.67        ,1.80        ,0.24        ,24.13        
1985,,13.50        ,8.47        ,2.10        ,0.22        ,24.29        
1986,,12.75        ,9.43        ,2.40        ,0.33        ,24.91        
1987,,12.98        ,9.15        ,2.20        ,0.34        ,24.67        
1988,,13.55        ,7.86        ,2.40        ,0.29        ,24.10        
1989,,13.62        ,10.36        ,2.49        ,0.42        ,26.89        
1990,,13.28        ,9.23        ,2.06        ,0.20        ,24.77        
1991,,12.73        ,8.64        ,1.90        ,0.34        ,23.61        
1992,,14.70        ,8.47        ,2.10        ,0.27        ,25.54        
1993,,14.19        ,8.61        ,1.74        ,0.34        ,24.88        
1994,,15.00        ,8.38        ,2.00        ,0.26        ,25.64        
1995,,15.16        ,8.97        ,1.89        ,0.33        ,26.35        
1996,,16.58        ,10.28        ,2.04        ,0.35        ,29.26        
1997,,15.49        ,10.52        ,2.22        ,0.55        ,28.79        
1998,,14.34        ,10.64        ,2.34        ,0.67        ,28.00        
1999,,15.21        ,11.38        ,2.45        ,0.64        ,29.68        
2000,,13.82        ,11.12        ,2.26        ,0.60        ,27.80        
2001,,15.01        ,11.16        ,1.97        ,0.51        ,28.66        
2002,,14.04        ,11.10        ,2.19        ,0.55        ,27.88        
2003,,13.54        ,10.79        ,2.18        ,0.56        ,27.08        
2004,,12.99        ,9.81        ,2.05        ,0.53        ,25.38        
2005,,13.55        ,9.58        ,1.87        ,0.56        ,25.55        
2006,,15.12        ,9.25        ,1.88        ,0.60        ,26.85        
2007,,14.41        ,9.58        ,1.83        ,0.62        ,26.44        
2008,,15.56        ,8.87        ,1.68        ,0.54        ,26.65        
2009,,14.92        ,9.05        ,1.62        ,0.55        ,26.13        
2010,,15.70        ,8.54        ,1.67        ,0.59        ,26.49        
2011,,13.83        ,8.65        ,1.60        ,0.58        ,24.67        
2012,,13.89        ,7.52        ,1.48        ,0.57        ,23.46        
2013,,14.48        ,8.28        ,1.61        ,0.62        ,24.98        
2014,,13.90        ,6.60        ,1.65        ,0.64        ,22.79        
2015,,14.86        ,6.77        ,1.69        ,0.68        ,24.00        
2016,,16.54        ,7.54        ,1.85        ,0.55        ,26.49        
2017,,16.16        ,7.33        ,1.65        ,0.48        ,25.63        
2018,,15.69        ,7.04        ,1.96        ,0.50        ,25.19        
