Year,All,Fresh,Juice,Fresh_prop,Juice_prop
1976,102.1,14.7,87.4,0.14397649363369247,0.8560235063663076
1977,110.6,13.4,97.1,0.12115732368896927,0.8779385171790235
1978,91.8,13.4,78.3,0.1459694989106754,0.8529411764705882
1979,86.1,11.5,74.6,0.13356562137049943,0.8664343786295006
1980,95.3,14.3,81.0,0.15005246589716686,0.8499475341028332
1981,95.2,12.4,82.8,0.13025210084033614,0.8697478991596638
1982,86.7,11.7,75.0,0.13494809688581313,0.8650519031141868
1983,106.1,15.0,91.0,0.1413760603204524,0.8576814326107446
1984,92.1,11.9,80.3,0.12920738327904452,0.8718783930510315
1985,90.0,11.6,78.4,0.1288888888888889,0.8711111111111112
1986,95.9,13.4,82.4,0.1397288842544317,0.859228362877998
1987,90.8,12.8,78.0,0.14096916299559473,0.8590308370044053
1988,86.3,13.9,72.4,0.16106604866743918,0.8389339513325609
1989,86.0,12.2,73.9,0.14186046511627906,0.8593023255813954
1990,67.1,12.4,54.7,0.18479880774962745,0.8152011922503727
1991,81.9,8.4,73.5,0.10256410256410256,0.8974358974358974
1992,76.0,12.8,63.2,0.16842105263157894,0.8315789473684211
1993,88.2,14.1,74.0,0.15986394557823128,0.8390022675736961
1994,84.8,12.9,71.8,0.15212264150943397,0.8466981132075472
1995,81.3,11.8,69.5,0.14514145141451415,0.8548585485854859
1996,90.6,12.6,78.0,0.13907284768211922,0.8609271523178809
1997,88.6,13.9,74.7,0.15688487584650115,0.843115124153499
1998,97.1,14.61,82.45,0.15046343975283213,0.8491246138002061
1999,85.4,8.4,77.0,0.09836065573770492,0.901639344262295
2000,91.0,11.7,79.2,0.12857142857142856,0.8703296703296703
2001,87.1,11.9,75.2,0.13662456946039037,0.8633754305396097
2002,84.3,11.7,72.5,0.1387900355871886,0.8600237247924081
2003,83.1,11.9,71.2,0.14320096269554755,0.8567990373044525
2004,84.0,10.8,73.2,0.1285714285714286,0.8714285714285714
2005,80.6,11.4,69.2,0.141439205955335,0.8585607940446651
2006,73.0,10.2,62.8,0.13972602739726026,0.8602739726027396
2007,65.5,7.5,58.0,0.11450381679389313,0.8854961832061069
2008,62.6,9.9,52.6,0.15814696485623003,0.8402555910543131
2009,63.5,9.1,54.5,0.1433070866141732,0.8582677165354331
2010,61.4,9.7,51.7,0.15798045602605862,0.8420195439739414
2011,63.1,10.0,53.2,0.15847860538827258,0.8431061806656102
2012,54.3,10.5,43.8,0.19337016574585636,0.8066298342541436
2013,56.0,10.4,45.7,0.18571428571428572,0.8160714285714287
2014,53.7,9.4,44.4,0.1750465549348231,0.8268156424581005
2015,51.5,8.7,42.9,0.16893203883495145,0.8330097087378641
2016,51.4,9.2,42.2,0.17898832684824903,0.821011673151751
2017,47.3,8.0,39.3,0.16913319238900634,0.8308668076109936
2018,48.4,8.2,40.3,0.16942148760330578,0.8326446280991735
