Year,Production,Imports,Total supply,Exports,Domestic use,Per capita use,Trade share of use imported,Trade share of supply exported
1970,4259.0,306.0,4564.0,157.0,4408.0,21.5,6.9,3.4
1971,4152.0,324.0,4475.0,181.0,4295.0,20.7,7.5,4.0
1972,4063.0,340.0,4404.0,167.0,4237.0,20.2,8.0,3.8
1973,3993.0,361.0,4354.0,156.0,4198.0,19.8,8.6,3.6
1974,3537.0,383.0,3920.0,161.0,3759.0,17.6,10.2,4.1
1975,3665.0,308.0,3973.0,171.0,3803.0,17.6,8.1,4.3
1976,3895.0,362.0,4257.0,112.0,4145.0,19.0,8.7,2.6
1977,4038.0,394.0,4432.0,114.0,4318.0,19.6,9.1,2.6
1978,4200.0,444.0,4644.0,162.0,4483.0,20.1,9.9,3.5
1979,3997.0,471.0,4469.0,141.0,4328.0,19.2,10.9,3.2
1980,3814.0,421.0,4235.0,137.0,4098.0,18.0,10.3,3.2
1981,4289.0,316.0,4605.0,142.0,4464.0,19.4,7.1,3.1
1982,4794.0,569.0,5363.0,189.0,5174.0,22.3,11.0,3.5
1983,4380.0,442.0,4822.0,175.0,4646.0,19.8,9.5,3.6
1984,5245.0,628.0,5873.0,167.0,5706.0,24.1,11.0,2.8
1985,5394.0,560.0,5954.0,165.0,5789.0,24.3,9.7,2.8
1986,5530.0,659.0,6189.0,185.0,6004.0,25.0,11.0,3.0
1987,5402.0,769.0,6171.0,183.0,5988.0,24.7,12.8,3.0
1988,5331.0,744.0,6075.0,184.0,5891.0,24.0,12.6,3.0
1989,5779.0,1078.0,6857.0,204.0,6653.0,26.9,16.2,3.0
1990,5494.0,960.0,6454.0,260.0,6194.0,24.8,15.5,4.0
1991,5135.0,1123.0,6258.0,273.0,5985.0,23.6,18.8,4.4
1992,6063.0,922.0,6986.0,422.0,6564.0,25.6,14.1,6.0
1993,5970.0,935.0,6905.0,432.0,6473.0,24.9,14.4,6.3
1994,6191.0,1051.0,7242.0,488.0,6754.0,25.6,15.6,6.7
1995,6272.0,1224.0,7496.0,472.0,7024.0,26.4,17.4,6.3
1996,6903.0,1478.0,8382.0,492.0,7890.0,29.3,18.7,5.9
1997,6559.0,1789.0,8348.0,492.0,7856.0,28.8,22.8,5.9
1998,6366.0,1841.0,8207.0,476.0,7730.0,28.0,23.8,5.8
1999,6798.0,2031.0,8829.0,540.0,8289.0,29.7,24.5,6.1
2000,6438.0,1969.0,8407.0,557.0,7850.0,27.8,25.1,6.6
2001,6781.0,1916.0,8697.0,521.0,8176.0,28.7,23.4,6.0
2002,6709.0,1951.0,8660.0,628.0,8032.0,27.9,24.3,7.3
2003,6547.0,1947.0,8495.0,621.0,7874.0,27.1,24.7,7.3
2004,6296.0,1834.0,8130.0,682.0,7448.0,25.4,24.6,8.4
2005,6173.0,2011.0,8184.0,616.0,7568.0,25.6,26.6,7.5
2006,6358.0,2219.0,8577.0,549.0,8029.0,26.9,27.6,6.4
2007,6192.0,2335.0,8527.0,543.0,7984.0,26.4,29.2,6.4
2008,6292.0,2395.0,8687.0,563.0,8124.0,26.7,29.5,6.5
2009,6165.0,2438.0,8603.0,569.0,8034.0,26.1,30.3,6.6
2010,6421.0,2363.0,8784.0,579.0,8206.0,26.5,28.8,6.6
2011,5845.0,2495.0,8340.0,644.0,7696.0,24.7,32.4,7.7
2012,5615.0,2348.0,7963.0,593.0,7370.0,23.5,31.9,7.4
2013,5788.0,2703.0,8491.0,588.0,7903.0,25.0,34.2,6.9
2014,5061.0,2793.0,7855.0,592.0,7263.0,22.8,38.5,7.5
2015,5280.0,2967.0,8247.0,542.0,7704.0,24.0,38.5,6.6
2016,5894.0,3240.0,9133.0,571.0,8563.0,26.5,37.8,6.2
2017,5879.0,3077.0,8956.0,616.0,8340.0,25.6,36.9,6.9
2018,5790.0,3038.0,8828.0,580.0,8249.0,25.2,36.8,6.6
