Year,Production,Imports,Total supply,Exports,Domestic use,Per capita use
 1980/81,1138.2,123.5,1261.7,352.8,908.9,3.97
 1981/82,1053.0,201.5,1254.5,317.5,937.0,4.05
 1982/83,1412.8,279.5,1692.3,357.8,1334.5,5.72
 1983/84,1342.2,320.8,1663.0,346.4,1316.6,5.59
 1984/85,1353.8,427.2,1781.0,335.5,1445.5,6.09
 1985/86,1562.8,463.6,2026.4,386.4,1640.0,6.84
 1986/87,1558.8,540.6,2099.4,382.6,1716.8,7.1
 1987/88,1432.4,682.4,2114.8,395.5,1719.3,7.05
 1988/89,1662.6,652.3,2314.9,419.2,1895.8,7.7
 1989/90 ,1574.5,799.5,2374.0,400.5,1973.5,7.94
 1990/91 ,1698.0,728.5,2426.5,458.5,1968.0,7.82
 1991/92,1600.8,690.2,2291.0,438.6,1852.4,7.26
 1992/93,1538.1,714.1,2252.3,412.6,1839.7,7.12
 1993/94,1601.0,680.7,2281.7,455.3,1826.5,6.98
 1994/95 ,1617.1,719.1,2336.2,474.2,1861.9,7.03
 1995/96,1705.2,792.6,2497.8,500.2,1997.5,7.46
 1996/97 ,1534.1,746.5,2280.6,457.1,1823.5,6.73
 1997/98 ,1874.2,862.2,2736.4,606.6,2129.8,7.76
 1998/99   ,1561.6,874.6,2436.2,446.1,1990.1,7.17
 1999/2000 ,1774.3,993.7,2768.1,530.0,2238.1,7.97
 2000/01 ,1813.7,954.9,2768.6,655.7,2112.9,7.44
 2001/02 ,1728.7,1043.5,2772.2,656.4,2115.7,7.38
 2002/03 ,1964.7,1174.4,3139.1,702.4,2436.6,8.42
 2003/04 ,1610.9,1258.7,2869.6,632.2,2237.4,7.66
 2004/05 ,1765.2,1225.7,2990.8,691.5,2299.4,7.8
 2005/06 ,1991.2,1406.0,3397.2,838.3,2558.9,8.6
 2006/07 ,1595.2,1291.2,2886.4,604.3,2282.1,7.59
 2007/08 ,1840.7,1255.1,3095.8,663.4,2432.3,8.01
 2008/09 ,1890.1,1379.2,3269.3,739.5,2529.8,8.26
 2009/10 ,1797.9,1230.8,3028.7,662.5,2366.2,7.66
 2010/11 ,1906.6,1278.8,3185.4,720.3,2465.0,7.96
 2011/12 ,1889.5,1175.3,3064.8,762.6,2302.2,7.38
 2012/13 ,1926.0,1250.6,3176.6,786.6,2390.0,7.61
 2013/14 ,2233.9,1145.1,3379.0,916.5,2462.5,7.78
 2014/15  ,2106.1,1205.3,3311.4,858.1,2453.3,7.7
 2015/16  ,2087.9,1169.3,3257.2,723.0,2534.2,7.9
 2016/17  ,2079.9,1307.0,3386.9,764.7,2622.2,8.11
 2017/18  ,2060.6,1363.2,3423.8,740.1,2683.7,8.25
 2018/19  ,2197.8,1257.2,3455.0,810.2,2644.8,8.08
