"Table 41--U.S. sweet potatoes, all uses: supply, availability, & price, farm weight.1",,,,,,,,,,,,
, ------------------------------ Supply  ------------------------------,,,, --------------------------------------------- Availability ------------------------------------------------,,,,,, -- Season Average Price  --,
Year ,Production1 ,Imports2,Beginning Stocks3,Total Supply ,Exports2,Seed Use4,"Feed, Shrink and Loss5",Ending Stocks3,Domestic Availability ,Per Capita Availability,Current Dollars1,Constant 2012 Dollars6
, ————————————————————— Million pounds ———————————————————————— ,,,,,,,,, — Pounds —,       ———— $/cwt ———,
1970,"1,316.0",        --,          --,"1,316.0",           --,68.5,137.6,          --,"1,109.9",5.41,4.38,20.21
1971,"1,149.4",        --,158.6,"1,308.0",           --,68.0,111.5,105.5,"1,023.0",4.93,5.22,22.92
1972,"1,217.0",        --,105.5,"1,322.5",           --,70.7,91.4,141.3,"1,019.1",4.86,5.73,24.12
1973,"1,215.6",        --,141.3,"1,356.9",           --,80.5,95.6,114.4,"1,066.4",5.03,7.32,29.21
1974,"1,333.9",        --,114.4,"1,448.3",           --,79.2,102.1,219.7,"1,047.3",4.90,7.34,26.87
1975,"1,289.1",        --,219.7,"1,508.8",           --,87.6,95.9,166.5,"1,158.8",5.37,8.59,28.78
1976,"1,327.3",        --,166.5,"1,493.8",           --,76.9,114.1,129.1,"1,173.7",5.38,7.50,23.82
1977,"1,188.5",        --,129.1,"1,317.6",           --,91.6,95.1,92.4,"1,038.5",4.72,10.50,31.39
1978,"1,311.5",14.2,92.4,"1,418.1",17.5,101.7,76.4,131.2,"1,091.3",4.90,10.60,29.61
1979,"1,337.0",13.1,131.2,"1,481.3",19.4,92.5,81.2,147.9,"1,140.3",5.07,8.92,23.01
1980,"1,095.3",2.5,147.9,"1,245.8",17.4,92.4,67.8,69.2,999.0,4.39,13.60,32.17
1981,"1,279.9",7.9,69.2,"1,357.0",19.8,110.8,60.6,91.5,"1,074.3",4.67,13.60,29.39
1982,"1,483.3",10.3,91.5,"1,585.1",13.6,98.9,107.6,112.9,"1,252.1",5.39,8.03,16.34
1983,"1,208.3",16.7,112.9,"1,337.9",14.7,104.7,80.2,87.4,"1,050.9",4.49,13.60,26.64
1984,"1,290.2",17.4,87.4,"1,395.0",16.7,105.0,71.3,60.0,"1,142.1",4.83,14.00,26.47
1985,"1,457.3",21.6,60.0,"1,538.8",18.2,103.9,72.9,89.4,"1,254.4",5.26,8.81,16.14
1986,"1,236.8",17.0,89.4,"1,343.3",19.4,100.2,61.8,136.2,"1,025.7",4.26,10.90,19.58
1987,"1,161.1",18.3,136.2,"1,315.6",17.1,98.8,58.1,97.1,"1,044.6",4.30,11.60,20.33
1988,"1,094.5",18.4,97.1,"1,210.0",14.7,95.3,54.7,82.1,963.2,3.93,12.90,21.84
1989,"1,135.8",20.1,82.1,"1,238.1",13.9,96.7,56.8,100.0,970.7,3.92,16.40,26.72
1990,"1,259.4",19.1,              --,"1,278.5",14.7,100.5,63.0,          --,"1,100.4",4.40,9.70,15.23
1991,"1,120.3",17.2,              --,"1,137.5",16.1,85.3,56.0,          --,980.2,3.87,13.30,20.21
1992,"1,200.5",17.4,              --,"1,217.9",19.3,91.6,60.0,          --,"1,047.0",4.08,12.20,18.12
1993,"1,102.7",16.0,              --,"1,118.7",23.0,88.1,55.1,          --,952.5,3.66,15.10,21.91
1994,"1,338.0",17.8,              --,"1,355.8",22.0,91.2,66.9,          --,"1,175.6",4.46,14.00,19.89
1995,"1,282.1",22.0,              --,"1,304.1",26.0,92.4,64.1,          --,"1,121.6",4.21,15.90,22.12
1996,"1,321.6",21.3,              --,"1,342.9",27.2,93.5,66.1,          --,"1,156.2",4.29,14.40,19.68
1997,"1,332.7",17.3,              --,"1,350.0",29.7,90.9,66.6,          --,"1,162.9",4.26,15.80,21.22
1998,"1,236.5",17.9,              --,"1,254.4",37.6,92.5,61.8,          --,"1,062.4",3.85,15.30,20.32
1999,"1,222.1",17.7,              --,"1,239.8",40.7,99.5,61.1,          --,"1,038.5",3.72,17.60,23.05
2000,"1,378.0",15.3,              --,"1,393.3",39.1,98.0,68.9,          --,"1,187.3",4.20,15.30,19.60
2001,"1,451.5",13.7,              --,"1,465.2",47.7,98.4,72.6,          --,"1,246.5",4.37,15.30,19.18
2002,"1,279.9",14.7,              --,"1,294.6",52.0,96.5,64.0,          --,"1,082.1",3.76,16.80,20.73
2003,"1,589.1",11.1,              --,"1,600.2",59.3,95.9,79.5,          --,"1,365.6",4.70,19.20,23.26
2004,"1,611.2",11.5,              --,"1,622.7",64.9,97.0,80.6,          --,"1,380.2",4.70,17.50,20.64
2005,"1,573.0",13.0,              --,"1,586.0",71.5,91.1,78.7,          --,"1,344.8",4.54,18.10,20.70
2006,"1,640.1",15.5,              --,"1,655.6",86.1,95.8,82.0,          --,"1,391.7",4.65,18.20,20.21
2007,"1,807.0",17.4,              --,"1,824.4",96.2,100.6,90.4,          --,"1,537.2",5.09,18.30,19.79
2008,"1,844.3",17.0,              --,"1,861.3",120.8,103.3,92.2,          --,"1,545.0",5.07,21.20,22.49
2009,"1,946.9",23.6,              --,"1,970.5",148.4,110.0,97.3,          --,"1,614.7",5.25,21.80,22.95
2010,"2,384.5",22.3,              --,"2,406.8",204.1,119.9,119.2,          --,"1,963.5",6.35,19.80,20.60
2011,"2,696.4",23.5,              --,"2,719.9",233.4,133.7,134.8,          --,"2,217.9",7.12,18.80,19.16
2012,"2,648.2",26.8,              --,"2,675.0",246.3,130.6,132.4,          --,"2,165.7",6.90,17.40,17.40
2013,"2,474.9",34.1,              --,"2,509.0",280.7,115.6,123.7,          --,"1,988.9",6.29,24.10,23.68
2014,"2,946.4",36.0,              --,"2,982.4",311.1,137.0,147.3,          --,"2,386.9",7.50,23.90,23.05
2015,"3,101.6",47.1,              --,"3,148.7",409.3,157.1,155.1,          --,"2,427.2",7.57,21.80,20.80
2016,"3,154.6",33.8,              --,"3,188.4",528.1,168.3,157.7,          --,"2,334.3",7.23,20.70,19.54
2017,"3,564.6",30.3,              --,"3,594.9",650.1,161.8,178.2,          --,"2,604.8",8.01,18.40,17.05
2018,"2,737.8",34.7,              --,"2,772.5",667.8,150.4,136.9,          --,"1,817.5",5.56,23.20,21.02
2019,"3,484.7",35.3,              --,"3,520.0",579.6,162.4,174.2,          --,"2,603.8",7.91,20.77,18.40
