"Table 34--U.S. fresh potatoes: supply, availability, & price, farm weight.1",,,,,,,,
, -------------------- Supply  --------------------,,, ---------------- Availability ----------------,,, -- Season Average Price  --,
Year ,Production1 ,Imports2,Total Supply ,Exports2,Domestic Availability ,Per Capita Availability,Current Dollars3,Constant 2012 Dollars4
, —————————— Million pounds ———————————— ,,,,, — Pounds —,       ———— $/cwt ———,
1970,12812.02,172.304,12984.324,310.749,12673.575,61.8,--,--
1971,11783.42,148.442,11931.862,288.395,11643.467,56.1,--,--
1972,12451.54,75.606,12527.146,383.774,12143.372,57.9,--,--
1973,11484.41,85.512,11569.922,461.899,11108.023,52.4,--,--
1974,10873.09,187.669,11060.759,506.963,10553.796,49.4,--,--
1975,11693.44,142.006,11835.446,465.719,11369.727,52.6,--,--
1976,12089.44,53.247,12142.687,1361.474,10781.213,49.4,--,--
1977,11615.82,106.447,11722.267,693.379,11028.888,50.1,--,--
1978,10487.9,150.05,10637.95,406.629,10231.321,46,--,--
1979,11360.7,159.434,11520.134,414.667,11105.467,49.3,--,--
1980,11697.98,218.366,11916.346,274.632,11641.714,51.12158471,--,--
1981,10549.01,392.353,10941.363,398.578,10542.785,45.84497274,--,--
1982,10765.42,478.4,11243.82,305.156,10938.664,47.11123745,--,--
1983,11600.85,349.086,11949.936,283.237,11666.699,49.79236216,--,--
1984,11450.05,325.149,11775.199,360.325,11414.874,48.29689272,7.54,14.25384703
1985,10965.72,405.872,11371.592,329.885,11041.707,46.30306627,4.16,7.623096516
1986,11744.81,344.458,12089.268,340.607,11748.661,48.82032902,6.39,11.47835459
1987,11600.18,402.8,12002.98,363.215,11639.765,47.93893428,5.08,8.905094135
1988,12095.17,483.423,12578.593,421.985,12156.608,49.61455549,8.24,13.95214955
1989,12172.84,670.2775632,12843.11756,467.8,12375.31756,50.03322348,10.8,17.59702806
1990,11334.753,683.9457574,12018.69876,327.333313,11691.36544,46.74078264,8.01,12.58029558
1991,12452.0853,616.2552637,13068.34056,341.682182,12726.65838,50.20516693,5.65,8.583364983
1992,12551.8151,401.5852369,12953.40034,537.939,12415.46134,48.32912149,6.76,10.04084664
1993,12873.9026,712.5821905,13586.48479,539.344925,13047.13987,50.13213912,7.96,11.54962275
1994,13086.2458,642.8093736,13729.05517,655.026119,13074.02905,49.62886263,6.87,9.759631776
1995,13019.5267,684.8697229,13704.39642,583.938175,13120.45825,49.22196096,8.87,12.34207158
1996,13091.4165,986.4652989,14077.8818,610.053376,13467.82842,49.94244169,5.05,6.900509681
1997,12816.034,764.8193629,13580.85336,670.2694898,12910.58387,47.30676509,6.65,8.932769158
1998,12529.7701,1061.022904,13590.793,650.91738,12939.87562,46.86408063,6.94,9.218548676
1999,12999.9565,923.4880932,13923.44459,599.0658966,13324.3787,47.70718665,6.94,9.08733796
2000,13184.7804,805.4586578,13990.23906,676.576255,13313.6628,47.14727288,5.27,6.749660596
2001,13252.0692,671.0596697,13923.12887,636.1752995,13286.95357,46.5703945,10.79,13.52299787
2002,12567.1667,883.1080219,13450.27472,696.8962067,12753.37852,44.26645345,9.59,11.83191038
2003,13322.0589,872.3697081,14194.42861,590.352081,13604.07653,46.7783978,7.34,8.890826944
2004,13181.2818,755.0977405,13936.37954,484.458977,13451.92056,45.83852848,6.7,7.902807266
2005,12075.4601,787.828854,12863.28895,639.388674,12223.90028,41.27099649,10.31,11.79350499
2006,11347.9478,817.418873,12165.36667,630.723627,11534.64305,38.57794016,10.25,11.38054316
2007,11225.2395,1105.859222,12331.09872,640.134649,11690.96407,38.71129947,10.84,11.72069286
2008,10995.2388,1177.544642,12172.78344,641.514219,11531.26922,37.83252602,14.44,15.31526754
2009,11059.0954,936.3222444,11995.41764,728.7908566,11266.62679,36.64665807,8.35,8.789103617
2010,11341.5172,916.3640334,12257.88123,855.5973361,11402.2839,36.86169531,12.71,13.22429274
2011,10533.7076,1083.665976,11617.37358,989.9786806,10627.3949,34.10807686,12.82,13.06590024
2012,11065.2275,778.1656055,11843.39311,986.4968382,10856.89627,34.58995879,9.16,9.16
2013,11128.9355,861.4456815,11990.38118,1055.516286,10934.8649,34.59768252,12.83,12.60871702
2014,10596.1184,1036.452057,11632.57046,922.1522389,10710.41822,33.63968282,10.16,9.799382716
2015,10982.1376,882.2759652,11864.41357,904.7831623,10959.6304,34.16954252,9.85,9.399841586
2016,10884.6878,1093.271342,11977.95914,1077.958352,10900.00079,33.73868051,10.6,10.00613584
2017,11433.6458,1106.264149,12539.90995,1204.437159,11335.47279,34.86259622,11.95,11.07014488
2018,10791.47607,1072.507929,11863.984,1060.545478,10803.43852,33.02113045,10.74,9.729847258
2019,11532.62446,909.2001008,12441.82456,1203.162326,11238.66224,34.13928307,12.59,11.15433832
