Year,Meat
1970,179.88734
1971,183.7433209
1972,181.0200602
1973,168.298627
1974,176.8843543
1975,169.192318
1976,180.8662087
1977,180.5208714
1978,178.2016535
1979,179.091938
1980,181.064295
1981,180.1879726
1982,174.6639088
1983,179.3196053
1984,180.6592185
1985,183.4962535
1986,181.2207186
1987,179.4586893
1988,181.8336097
1989,178.9825463
1990,178.3266056
1991,180.0612486
1992,185.7053832
1993,185.6913094
1994,188.6909058
1995,187.359656
1996,185.7058529
1997,185.9492942
1998,191.3930499
1999,197.5069214
2000,197.0601892
2001,194.5978213
2002,201.2534543
2003,199.8417131
2004,203.3108089
2005,202.712567
2006,203.1324115
2007,202.5702905
2008,196.5649566
2009,192.0740863
2010,190.6297
2011,186.6776
2012,184.4963
2013,185.9593
2014,184.4649
2015,193.8833
2016,196.6522
2017,199.3606
2018,201.9963
2019,206.7605
